PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40085930,Effect of cumulative dexamethasone dose on the outcome of patients with radiosurgically treated brain metastases in the era of modern oncological therapy.,2025 Mar 14,"Anna Cho, Brigitte Gatterbauer, Yiru Chen, Thore Jankowski, Lukas Haider, Sonja Tögl, Irene Kapfhammer, Martin Schreder, Klaus Kirchbacher, Sabine Zöchbauer-Müller, Karl Rössler, Christian Dorfer, Philippe Dodier, Maximilian J Hochmair, Josa M Frischer",N/A,N/A
40085923,Decision-Making for Ablation of Colorectal Liver Oligometastases Patients: A 10-Year Retrospective Study of Survival Outcomes Based on Right-Versus Left-Sided Primary Tumor Location.,2025 Jan-Dec,"Xiao-Guang Qi, Jian-Ming Li, Jian-Ping Dou, Fang-Yi Liu, Zhen Wang, Zhao-He Zhang, Ping Liang, Jie Yu",N/A,N/A
40085921,Chondroblastoma in 28 cases: The risk of local recurrence increases with larger tumor size.,2025 Jan-Apr,"Di Yang, Zhongliang Wang",N/A,N/A
40085845,"Analyzing Online Search Trends for Kidney, Prostate, and Bladder Cancers in China: Infodemiology Study Using Baidu Search Data (2011-2023).",2025 Mar 14,"Shuangquan Lin, Lingxing Duan, Xiangda Xu, Haichao Cao, Xiongbing Lu, Xi Wen, Shanzun Wei",N/A,N/A
40085844,Catch Bonds in Immunology.,2025 Mar 14,"Hyun-Kyu Choi, Cheng Zhu",N/A,"1Wallace H. Coulter Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, Atlanta, Georgia, USA; email: cheng.zhu@bme.gatech.edu., 1Wallace H. Coulter Department of Biomedical Engineering, Georgia Institute of Technology and Emory University, Atlanta, Georgia, USA; email: cheng.zhu@bme.gatech.edu."
40085831,Estimating the Burden of Common Mental Disorders Attributable to Lifestyle Factors: Protocol for the Global Burden of Disease Lifestyle and Mental Disorder (GLAD) Project.,2025 Mar 14,"Deborah N Ashtree, Rebecca Orr, Melissa M Lane, Tasnime N Akbaraly, Marialaura Bonaccio, Simona Costanzo, Alessandro Gialluisi, Giuseppe Grosso, Camille Lassale, Daniela Martini, Lorenzo Monasta, Damian Santomauro, Jeffrey Stanaway, Felice N Jacka, Adrienne O'Neil","Department of Biomedical and Biotechnological Sciences, University of Catania, Catania, Italy.",N/A
40085807,Ex Vivo Drug Screening: An Emerging Paradigm in the Treatment of Childhood Cancer.,2025 Mar 10,"Anees Ahmed, Ellen Cox, Louis Lane, Ola Rominiyi, Sarah Danson, Helen E Bryant, Greg Wells, David King",N/A,N/A
40085801,"PLSKB: An Interactive Knowledge Base to Support Diagnosis, Treatment, and Screening of Lynch Syndrome on the Basis of Precision Oncology.",2025 Mar,"Mahsa Dehghani Soufi, Reza Shirkoohi, Zohreh Sanaat, Anna Torkamannia, Meysam Hashemi, Samaneh Jahandar-Lashaki, Mahsa Yousefpour Marzbali, Yosra Vaez, Reza Ferdousi",N/A,N/A
40085752,Exploring the frontiers: a panoramic analysis of global multi-specific antibody clinical trials.,2025 Mar 14,"Simeng Gao, Yan Zhang, Jingru Han, Jianfu Zhao",N/A,N/A
40085727,Unveiling the beauty of narrative therapy in palliative care.,2025 Mar 14,"Vinutha Suresh, Meenakshi V Venketeswaran, Jefrilla Nancy Joseph",N/A,N/A
